CustomerID	AccountNumber	CustomerType	AvgOrderValue
27	AW00000027	S	17149.89
522	AW00000522	S	17107.77
213	AW00000213	S	16851.51
319	AW00000319	S	16531.58
422	AW00000422	S	16142.38
540	AW00000540	S	15620.15
559	AW00000559	S	15582.11
646	AW00000646	S	15493.72
138	AW00000138	S	15424.14
640	AW00000640	S	15405.07
93	AW00000093	S	15404.13
401	AW00000401	S	15403.85
99	AW00000099	S	15074.12
519	AW00000519	S	14765.97
223	AW00000223	S	14693.77
252	AW00000252	S	14636.04
121	AW00000121	S	14281.24
410	AW00000410	S	14032.52
342	AW00000342	S	13927.68
624	AW00000624	S	13886.83
602	AW00000602	S	13595.63
186	AW00000186	S	13582.96
63	AW00000063	S	13556.47
348	AW00000348	S	13157.75
180	AW00000180	S	12912.12
423	AW00000423	S	12743.98
647	AW00000647	S	12650.45
17	AW00000017	S	12610.92
11	AW00000011	S	12190.46
135	AW00000135	S	11829.52
23	AW00000023	S	11816.86
120	AW00000120	S	11654.17
161	AW00000161	S	11345.53
191	AW00000191	S	11319.03
92	AW00000092	S	11236.37
164	AW00000164	S	11219.81
301	AW00000301	S	11056.12
270	AW00000270	S	11030.73
59	AW00000059	S	10924.77
311	AW00000311	S	10774.64
5	AW00000005	S	10772.23
668	AW00000668	S	10705.93
144	AW00000144	S	10669.24
143	AW00000143	S	10486
147	AW00000147	S	10454.18
529	AW00000529	S	10411.53
377	AW00000377	S	10266.95
368	AW00000368	S	10028.94
283	AW00000283	S	9871.08
679	AW00000679	S	9858.29
177	AW00000177	S	9767.87
83	AW00000083	S	9162.5
20	AW00000020	S	9147.01
438	AW00000438	S	9135.95
216	AW00000216	S	8965.97
662	AW00000662	S	8543.73
612	AW00000612	S	8416.7
62	AW00000062	S	8283.19
486	AW00000486	S	8161.58
460	AW00000460	S	8087.56
289	AW00000289	S	7943.48
47	AW00000047	S	7864.35
683	AW00000683	S	7797.52
389	AW00000389	S	7726.14
123	AW00000123	S	7711.4
86	AW00000086	S	7662.02
592	AW00000592	S	7615.98
586	AW00000586	S	7595.19
531	AW00000531	S	7578.18
41	AW00000041	S	7514.91
444	AW00000444	S	7415.56
477	AW00000477	S	7379.74
428	AW00000428	S	7304.59
365	AW00000365	S	7195.89
36	AW00000036	S	7089.38
265	AW00000265	S	7049.59
563	AW00000563	S	7004.17
431	AW00000431	S	6903.85
571	AW00000571	S	6829.21
256	AW00000256	S	6763.53
95	AW00000095	S	6711.06
207	AW00000207	S	6672.05
634	AW00000634	S	6665.41
504	AW00000504	S	6639.73
284	AW00000284	S	6606.84
65	AW00000065	S	6537.69
417	AW00000417	S	6273.02
350	AW00000350	S	6214.26
622	AW00000622	S	6202.22
280	AW00000280	S	6179.85
576	AW00000576	S	6176.47
604	AW00000604	S	6171.04
53	AW00000053	S	6085.62
498	AW00000498	S	6059.08
395	AW00000395	S	5860.8
259	AW00000259	S	5707.67
613	AW00000613	S	5687.87
649	AW00000649	S	5660.96
232	AW00000232	S	5651.53
295	AW00000295	S	5630.8
286	AW00000286	S	5623.75
68	AW00000068	S	5622.07
114	AW00000114	S	5585.19
183	AW00000183	S	5571.1
8	AW00000008	S	5545.43
353	AW00000353	S	5516.1
441	AW00000441	S	5465.03
156	AW00000156	S	5428.37
404	AW00000404	S	5331.3
241	AW00000241	S	5321.76
201	AW00000201	S	5311.14
77	AW00000077	S	5149.44
680	AW00000680	S	5104.31
335	AW00000335	S	5085.51
480	AW00000480	S	5035.86
380	AW00000380	S	5033.61
235	AW00000235	S	5018.5
525	AW00000525	S	5002.43
210	AW00000210	S	4996.5
698	AW00000698	S	4989.36
692	AW00000692	S	4896.43
511	AW00000511	S	4853.5
492	AW00000492	S	4853.01
226	AW00000226	S	4787.89
607	AW00000607	S	4693.17
220	AW00000220	S	4630.07
292	AW00000292	S	4574.21
89	AW00000089	S	4565.76
44	AW00000044	S	4513.85
407	AW00000407	S	4500.43
686	AW00000686	S	4463.09
101	AW00000101	S	4406.1
378	AW00000378	S	4405.82
171	AW00000171	S	4358.3
643	AW00000643	S	4336.17
432	AW00000432	S	4316.93
652	AW00000652	S	4290.74
631	AW00000631	S	4161.76
493	AW00000493	S	4133.42
360	AW00000360	S	3993.33
26	AW00000026	S	3750.09
425	AW00000425	S	3706.39
277	AW00000277	S	3691
513	AW00000513	S	3650.78
587	AW00000587	S	3606.15
22971	AW00022971	I	3578.27
22975	AW00022975	I	3578.27
23566	AW00023566	I	3578.27
23806	AW00023806	I	3578.27
24491	AW00024491	I	3578.27
24493	AW00024493	I	3578.27
24501	AW00024501	I	3578.27
24646	AW00024646	I	3578.27
27577	AW00027577	I	3578.27
27578	AW00027578	I	3578.27
27601	AW00027601	I	3578.27
27604	AW00027604	I	3578.27
27605	AW00027605	I	3578.27
27611	AW00027611	I	3578.27
27612	AW00027612	I	3578.27
27614	AW00027614	I	3578.27
27649	AW00027649	I	3578.27
27666	AW00027666	I	3578.27
27672	AW00027672	I	3578.27
27673	AW00027673	I	3578.27
27678	AW00027678	I	3578.27
27681	AW00027681	I	3578.27
27726	AW00027726	I	3578.27
27752	AW00027752	I	3578.27
27759	AW00027759	I	3578.27
27917	AW00027917	I	3578.27
28013	AW00028013	I	3578.27
28014	AW00028014	I	3578.27
28017	AW00028017	I	3578.27
28018	AW00028018	I	3578.27
28022	AW00028022	I	3578.27
28036	AW00028036	I	3578.27
28039	AW00028039	I	3578.27
28040	AW00028040	I	3578.27
28041	AW00028041	I	3578.27
28042	AW00028042	I	3578.27
28044	AW00028044	I	3578.27
28047	AW00028047	I	3578.27
28051	AW00028051	I	3578.27
28088	AW00028088	I	3578.27
28092	AW00028092	I	3578.27
28096	AW00028096	I	3578.27
28097	AW00028097	I	3578.27
28112	AW00028112	I	3578.27
28129	AW00028129	I	3578.27
28130	AW00028130	I	3578.27
28142	AW00028142	I	3578.27
28145	AW00028145	I	3578.27
28147	AW00028147	I	3578.27
28148	AW00028148	I	3578.27
28149	AW00028149	I	3578.27
28150	AW00028150	I	3578.27
28161	AW00028161	I	3578.27
28162	AW00028162	I	3578.27
28163	AW00028163	I	3578.27
28164	AW00028164	I	3578.27
28165	AW00028165	I	3578.27
28166	AW00028166	I	3578.27
28167	AW00028167	I	3578.27
28168	AW00028168	I	3578.27
28169	AW00028169	I	3578.27
28170	AW00028170	I	3578.27
28171	AW00028171	I	3578.27
28172	AW00028172	I	3578.27
28173	AW00028173	I	3578.27
28176	AW00028176	I	3578.27
28177	AW00028177	I	3578.27
28178	AW00028178	I	3578.27
28179	AW00028179	I	3578.27
28180	AW00028180	I	3578.27
28181	AW00028181	I	3578.27
28182	AW00028182	I	3578.27
28183	AW00028183	I	3578.27
28184	AW00028184	I	3578.27
28185	AW00028185	I	3578.27
28186	AW00028186	I	3578.27
28197	AW00028197	I	3578.27
28198	AW00028198	I	3578.27
28199	AW00028199	I	3578.27
28200	AW00028200	I	3578.27
28221	AW00028221	I	3578.27
28222	AW00028222	I	3578.27
28223	AW00028223	I	3578.27
28270	AW00028270	I	3578.27
28271	AW00028271	I	3578.27
28293	AW00028293	I	3578.27
28294	AW00028294	I	3578.27
28295	AW00028295	I	3578.27
28299	AW00028299	I	3578.27
28339	AW00028339	I	3578.27
28340	AW00028340	I	3578.27
28354	AW00028354	I	3578.27
28355	AW00028355	I	3578.27
28362	AW00028362	I	3578.27
28363	AW00028363	I	3578.27
28573	AW00028573	I	3578.27
28574	AW00028574	I	3578.27
28583	AW00028583	I	3578.27
28584	AW00028584	I	3578.27
28586	AW00028586	I	3578.27
28587	AW00028587	I	3578.27
28588	AW00028588	I	3578.27
28598	AW00028598	I	3578.27
28618	AW00028618	I	3578.27
28619	AW00028619	I	3578.27
28620	AW00028620	I	3578.27
28621	AW00028621	I	3578.27
28624	AW00028624	I	3578.27
28625	AW00028625	I	3578.27
28626	AW00028626	I	3578.27
28627	AW00028627	I	3578.27
28628	AW00028628	I	3578.27
28629	AW00028629	I	3578.27
28630	AW00028630	I	3578.27
28635	AW00028635	I	3578.27
28643	AW00028643	I	3578.27
28644	AW00028644	I	3578.27
28645	AW00028645	I	3578.27
28646	AW00028646	I	3578.27
28647	AW00028647	I	3578.27
28648	AW00028648	I	3578.27
28649	AW00028649	I	3578.27
28650	AW00028650	I	3578.27
28651	AW00028651	I	3578.27
28652	AW00028652	I	3578.27
28653	AW00028653	I	3578.27
28654	AW00028654	I	3578.27
28655	AW00028655	I	3578.27
28656	AW00028656	I	3578.27
28657	AW00028657	I	3578.27
28658	AW00028658	I	3578.27
28660	AW00028660	I	3578.27
28661	AW00028661	I	3578.27
28670	AW00028670	I	3578.27
28675	AW00028675	I	3578.27
28676	AW00028676	I	3578.27
28761	AW00028761	I	3578.27
28763	AW00028763	I	3578.27
28765	AW00028765	I	3578.27
28772	AW00028772	I	3578.27
28774	AW00028774	I	3578.27
28775	AW00028775	I	3578.27
28778	AW00028778	I	3578.27
28790	AW00028790	I	3578.27
28792	AW00028792	I	3578.27
28794	AW00028794	I	3578.27
28795	AW00028795	I	3578.27
28797	AW00028797	I	3578.27
28799	AW00028799	I	3578.27
28804	AW00028804	I	3578.27
28805	AW00028805	I	3578.27
28807	AW00028807	I	3578.27
28820	AW00028820	I	3578.27
28821	AW00028821	I	3578.27
28822	AW00028822	I	3578.27
28823	AW00028823	I	3578.27
28824	AW00028824	I	3578.27
28825	AW00028825	I	3578.27
28826	AW00028826	I	3578.27
28827	AW00028827	I	3578.27
28829	AW00028829	I	3578.27
28830	AW00028830	I	3578.27
28831	AW00028831	I	3578.27
28833	AW00028833	I	3578.27
28835	AW00028835	I	3578.27
28838	AW00028838	I	3578.27
28839	AW00028839	I	3578.27
28843	AW00028843	I	3578.27
28849	AW00028849	I	3578.27
28851	AW00028851	I	3578.27
28852	AW00028852	I	3578.27
28853	AW00028853	I	3578.27
28856	AW00028856	I	3578.27
28857	AW00028857	I	3578.27
28966	AW00028966	I	3578.27
28988	AW00028988	I	3578.27
28989	AW00028989	I	3578.27
28990	AW00028990	I	3578.27
28993	AW00028993	I	3578.27
28997	AW00028997	I	3578.27
29008	AW00029008	I	3578.27
29010	AW00029010	I	3578.27
29016	AW00029016	I	3578.27
29017	AW00029017	I	3578.27
29056	AW00029056	I	3578.27
29058	AW00029058	I	3578.27
29059	AW00029059	I	3578.27
29060	AW00029060	I	3578.27
29070	AW00029070	I	3578.27
29106	AW00029106	I	3578.27
29108	AW00029108	I	3578.27
29110	AW00029110	I	3578.27
29126	AW00029126	I	3578.27
29132	AW00029132	I	3578.27
29136	AW00029136	I	3578.27
29139	AW00029139	I	3578.27
29140	AW00029140	I	3578.27
29141	AW00029141	I	3578.27
29142	AW00029142	I	3578.27
29143	AW00029143	I	3578.27
29144	AW00029144	I	3578.27
29145	AW00029145	I	3578.27
29146	AW00029146	I	3578.27
29147	AW00029147	I	3578.27
29148	AW00029148	I	3578.27
29150	AW00029150	I	3578.27
29151	AW00029151	I	3578.27
29155	AW00029155	I	3578.27
29156	AW00029156	I	3578.27
29157	AW00029157	I	3578.27
29158	AW00029158	I	3578.27
29163	AW00029163	I	3578.27
29169	AW00029169	I	3578.27
29170	AW00029170	I	3578.27
29198	AW00029198	I	3578.27
29207	AW00029207	I	3578.27
29208	AW00029208	I	3578.27
29254	AW00029254	I	3578.27
29280	AW00029280	I	3578.27
29285	AW00029285	I	3578.27
29326	AW00029326	I	3578.27
29334	AW00029334	I	3578.27
29335	AW00029335	I	3578.27
29340	AW00029340	I	3578.27
29350	AW00029350	I	3578.27
29352	AW00029352	I	3578.27
29354	AW00029354	I	3578.27
247	AW00000247	S	3560.71
275	AW00000275	S	3551.81
107	AW00000107	S	3463.83
661	AW00000661	S	3402.22
20075	AW00020075	I	3399.99
25857	AW00025857	I	3399.99
25861	AW00025861	I	3399.99
28389	AW00028389	I	3399.99
28414	AW00028414	I	3399.99
28470	AW00028470	I	3399.99
29385	AW00029385	I	3399.99
29410	AW00029410	I	3399.99
29448	AW00029448	I	3399.99
29449	AW00029449	I	3399.99
29475	AW00029475	I	3399.99
29476	AW00029476	I	3399.99
126	AW00000126	S	3389.93
19802	AW00019802	I	3374.99
28390	AW00028390	I	3374.99
28401	AW00028401	I	3374.99
28407	AW00028407	I	3374.99
28443	AW00028443	I	3374.99
28449	AW00028449	I	3374.99
28458	AW00028458	I	3374.99
28471	AW00028471	I	3374.99
28478	AW00028478	I	3374.99
28491	AW00028491	I	3374.99
28492	AW00028492	I	3374.99
28504	AW00028504	I	3374.99
29466	AW00029466	I	3374.99
29467	AW00029467	I	3374.99
29474	AW00029474	I	3374.99
29481	AW00029481	I	3374.99
675	AW00000675	S	3351.76
550	AW00000550	S	3347.25
112	AW00000112	S	3323.02
250	AW00000250	S	3304.99
56	AW00000056	S	3233.98
473	AW00000473	S	3231.87
656	AW00000656	S	3182.08
98	AW00000098	S	3155.32
2	AW00000002	S	3149.94
19614	AW00019614	I	3108.6
20452	AW00020452	I	3078.35
18696	AW00018696	I	3074.78
18336	AW00018336	I	3072.53
20622	AW00020622	I	3069.79
18746	AW00018746	I	3067.54
18338	AW00018338	I	3062.29
18242	AW00018242	I	3060.85
18496	AW00018496	I	3060.85
19960	AW00019960	I	3060.06
18297	AW00018297	I	3059.79
28259	AW00028259	I	3059.3
17351	AW00017351	I	3058.84
18296	AW00018296	I	3058.84
19560	AW00019560	I	3058.84
20609	AW00020609	I	3058.84
20621	AW00020621	I	3058.84
28194	AW00028194	I	3057.4
18269	AW00018269	I	3056.6
629	AW00000629	S	3056.22
19555	AW00019555	I	3055.3
18276	AW00018276	I	3053.3
18273	AW00018273	I	3052.1
18268	AW00018268	I	3051.09
16740	AW00016740	I	3049.55
19970	AW00019970	I	3049.55
18240	AW00018240	I	3049.29
18710	AW00018710	I	3049.29
19794	AW00019794	I	3049.29
18709	AW00018709	I	3049.27
19950	AW00019950	I	3049.27
18928	AW00018928	I	3047.54
19595	AW00019595	I	3047.54
17285	AW00017285	I	3046.6
18188	AW00018188	I	3046.6
18214	AW00018214	I	3046.6
18288	AW00018288	I	3046.6
18484	AW00018484	I	3046.6
19084	AW00019084	I	3046.6
19089	AW00019089	I	3046.6
19602	AW00019602	I	3046.6
19609	AW00019609	I	3046.6
19613	AW00019613	I	3046.6
20228	AW00020228	I	3046.6
20239	AW00020239	I	3046.6
20616	AW00020616	I	3046.6
20623	AW00020623	I	3046.6
16703	AW00016703	I	3045.29
16713	AW00016713	I	3045.29
18309	AW00018309	I	3045.29
18908	AW00018908	I	3045.29
19096	AW00019096	I	3045.29
19979	AW00019979	I	3045.29
17280	AW00017280	I	3044.79
18207	AW00018207	I	3044.79
18738	AW00018738	I	3044.79
18747	AW00018747	I	3044.79
19782	AW00019782	I	3044.79
19790	AW00019790	I	3044.79
20217	AW00020217	I	3044.79
20245	AW00020245	I	3042.79
20444	AW00020444	I	3042.79
271	AW00000271	S	3042.61
16688	AW00016688	I	3040.55
18281	AW00018281	I	3040.55
18489	AW00018489	I	3040.55
11741	AW00011741	I	3039.62
11776	AW00011776	I	3039.62
20445	AW00020445	I	3039.35
19785	AW00019785	I	3038.3
11323	AW00011323	I	3037.27
16687	AW00016687	I	3035.29
16743	AW00016743	I	3035.29
16744	AW00016744	I	3035.29
17502	AW00017502	I	3035.29
18213	AW00018213	I	3035.29
18277	AW00018277	I	3035.29
18691	AW00018691	I	3035.29
20242	AW00020242	I	3034.22
18255	AW00018255	I	3033.6
20226	AW00020226	I	3033.6
18485	AW00018485	I	3031.6
28243	AW00028243	I	3030.42
16693	AW00016693	I	3030.25
17051	AW00017051	I	3030.25
18706	AW00018706	I	3030.25
18931	AW00018931	I	3030.25
19568	AW00019568	I	3030.25
19956	AW00019956	I	3030.25
19978	AW00019978	I	3030.25
20220	AW00020220	I	3030.25
20612	AW00020612	I	3030.25
20615	AW00020615	I	3030.25
20629	AW00020629	I	3030.25
22995	AW00022995	I	3030.25
15614	AW00015614	I	3029.59
11295	AW00011295	I	3029.12
18241	AW00018241	I	3029.1
18243	AW00018243	I	3029.1
18250	AW00018250	I	3029.1
19576	AW00019576	I	3029.1
19789	AW00019789	I	3029.1
19791	AW00019791	I	3029.1
20617	AW00020617	I	3029.1
16741	AW00016741	I	3028.3
18205	AW00018205	I	3028.3
18209	AW00018209	I	3028.3
18217	AW00018217	I	3028.3
18272	AW00018272	I	3028.3
18301	AW00018301	I	3028.3
18483	AW00018483	I	3028.3
18488	AW00018488	I	3028.3
18491	AW00018491	I	3028.3
18740	AW00018740	I	3028.3
19095	AW00019095	I	3028.3
19105	AW00019105	I	3028.3
19559	AW00019559	I	3028.3
19586	AW00019586	I	3028.3
19588	AW00019588	I	3028.3
19596	AW00019596	I	3028.3
19773	AW00019773	I	3028.3
19788	AW00019788	I	3028.3
19792	AW00019792	I	3028.3
19793	AW00019793	I	3028.3
19959	AW00019959	I	3028.3
19964	AW00019964	I	3028.3
19965	AW00019965	I	3028.3
19971	AW00019971	I	3028.3
19975	AW00019975	I	3028.3
20225	AW00020225	I	3028.3
20247	AW00020247	I	3028.3
20430	AW00020430	I	3028.3
20600	AW00020600	I	3028.3
20613	AW00020613	I	3028.3
20628	AW00020628	I	3028.3
18708	AW00018708	I	3028.26
18724	AW00018724	I	3028.26
19947	AW00019947	I	3028.26
19958	AW00019958	I	3028.26
22893	AW00022893	I	3028.26
19607	AW00019607	I	3027.11
19611	AW00019611	I	3027.11
19787	AW00019787	I	3027.11
19949	AW00019949	I	3027.11
19963	AW00019963	I	3027.11
20227	AW00020227	I	3027.11
20451	AW00020451	I	3027.11
20606	AW00020606	I	3027.11
22903	AW00022903	I	3027.11
18731	AW00018731	I	3027.03
27645	AW00027645	I	3025.66
28255	AW00028255	I	3025.66
22112	AW00022112	I	3023.66
22252	AW00022252	I	3023.66
27663	AW00027663	I	3023.66
28031	AW00028031	I	3023.66
16742	AW00016742	I	3022.29
18210	AW00018210	I	3022.29
18222	AW00018222	I	3022.29
18249	AW00018249	I	3022.29
18725	AW00018725	I	3022.29
19795	AW00019795	I	3022.29
19977	AW00019977	I	3022.29
20219	AW00020219	I	3022.29
20448	AW00020448	I	3022.29
20620	AW00020620	I	3022.29
20627	AW00020627	I	3022.29
11325	AW00011325	I	3022.1
28288	AW00028288	I	3019.65
18219	AW00018219	I	3019.28
19099	AW00019099	I	3019.28
20626	AW00020626	I	3019.28
18248	AW00018248	I	3018.94
18308	AW00018308	I	3018.94
18494	AW00018494	I	3018.94
19577	AW00019577	I	3018.94
399	AW00000399	S	3017.83
17353	AW00017353	I	3017.8
18208	AW00018208	I	3017.8
18251	AW00018251	I	3017.8
18260	AW00018260	I	3017.8
18335	AW00018335	I	3017.8
18692	AW00018692	I	3017.8
18694	AW00018694	I	3017.8
18718	AW00018718	I	3017.8
18736	AW00018736	I	3017.8
18909	AW00018909	I	3017.8
18930	AW00018930	I	3017.8
19093	AW00019093	I	3017.8
19556	AW00019556	I	3017.8
19628	AW00019628	I	3017.8
19957	AW00019957	I	3017.8
20221	AW00020221	I	3017.8
20246	AW00020246	I	3017.8
20253	AW00020253	I	3017.8
20447	AW00020447	I	3017.8
20608	AW00020608	I	3017.8
20614	AW00020614	I	3017.8
22996	AW00022996	I	3017.8
22268	AW00022268	I	3015.66
17309	AW00017309	I	3015.3
17315	AW00017315	I	3015.3
18238	AW00018238	I	3015.3
18239	AW00018239	I	3015.3
18246	AW00018246	I	3015.3
18303	AW00018303	I	3015.3
18482	AW00018482	I	3015.3
19772	AW00019772	I	3015.3
17286	AW00017286	I	3014.78
17310	AW00017310	I	3014.78
17354	AW00017354	I	3014.78
18212	AW00018212	I	3014.78
18284	AW00018284	I	3014.78
18302	AW00018302	I	3014.78
18490	AW00018490	I	3014.78
18493	AW00018493	I	3014.78
18695	AW00018695	I	3014.78
18929	AW00018929	I	3014.78
19102	AW00019102	I	3014.78
19558	AW00019558	I	3014.78
19612	AW00019612	I	3014.78
19967	AW00019967	I	3014.78
20213	AW00020213	I	3014.78
20256	AW00020256	I	3014.78
20258	AW00020258	I	3014.78
20259	AW00020259	I	3014.78
20446	AW00020446	I	3014.78
20456	AW00020456	I	3014.78
20625	AW00020625	I	3014.78
22785	AW00022785	I	3014.78
22895	AW00022895	I	3014.78
28063	AW00028063	I	3013.16
28244	AW00028244	I	3013.16
28152	AW00028152	I	3012.66
11707	AW00011707	I	3012.61
12050	AW00012050	I	3011.86
23057	AW00023057	I	3010.91
23074	AW00023074	I	3010.91
27651	AW00027651	I	3010.91
28068	AW00028068	I	3010.91
28099	AW00028099	I	3010.91
16702	AW00016702	I	3010.81
16745	AW00016745	I	3010.81
