SalesOrderID	OrderDate	CustomerID	AccountNumber	SalesPersonID	SalesPersonTerritoryID	CommissionPct	TotalDue
75106	2004-07-31 00:00:00	14474	AW00014474	NULL	NULL	NULL	8.04
75107	2004-07-31 00:00:00	14029	AW00014029	NULL	NULL	NULL	62.95
75108	2004-07-31 00:00:00	21347	AW00021347	NULL	NULL	NULL	5.51
75109	2004-07-31 00:00:00	14114	AW00014114	NULL	NULL	NULL	94.46
75110	2004-07-31 00:00:00	13753	AW00013753	NULL	NULL	NULL	93.84
75111	2004-07-31 00:00:00	19072	AW00019072	NULL	NULL	NULL	54.11
75112	2004-07-31 00:00:00	21523	AW00021523	NULL	NULL	NULL	43.07
75113	2004-07-31 00:00:00	21524	AW00021524	NULL	NULL	NULL	127.03
75114	2004-07-31 00:00:00	24704	AW00024704	NULL	NULL	NULL	23.75
75115	2004-07-31 00:00:00	26832	AW00026832	NULL	NULL	NULL	88.92
75116	2004-07-31 00:00:00	16402	AW00016402	NULL	NULL	NULL	5.51
75117	2004-07-31 00:00:00	18178	AW00018178	NULL	NULL	NULL	32.58
75118	2004-07-31 00:00:00	13671	AW00013671	NULL	NULL	NULL	149.43
75119	2004-07-31 00:00:00	11981	AW00011981	NULL	NULL	NULL	46.72
75120	2004-07-31 00:00:00	18749	AW00018749	NULL	NULL	NULL	93.88
75121	2004-07-31 00:00:00	15251	AW00015251	NULL	NULL	NULL	82.85
75122	2004-07-31 00:00:00	15868	AW00015868	NULL	NULL	NULL	34.22
75123	2004-07-31 00:00:00	18759	AW00018759	NULL	NULL	NULL	209.92
75061	2004-07-30 00:00:00	17283	AW00017283	NULL	NULL	NULL	97.75
75062	2004-07-30 00:00:00	24374	AW00024374	NULL	NULL	NULL	23.75
75063	2004-07-30 00:00:00	18732	AW00018732	NULL	NULL	NULL	126.48
75064	2004-07-30 00:00:00	12351	AW00012351	NULL	NULL	NULL	75.11
75065	2004-07-30 00:00:00	16640	AW00016640	NULL	NULL	NULL	36.02
75066	2004-07-30 00:00:00	29216	AW00029216	NULL	NULL	NULL	102.19
75067	2004-07-30 00:00:00	27392	AW00027392	NULL	NULL	NULL	26.28
75068	2004-07-30 00:00:00	27640	AW00027640	NULL	NULL	NULL	66.82
75069	2004-07-30 00:00:00	11502	AW00011502	NULL	NULL	NULL	109.35
75070	2004-07-30 00:00:00	11176	AW00011176	NULL	NULL	NULL	27.61
75071	2004-07-30 00:00:00	25858	AW00025858	NULL	NULL	NULL	35.66
75072	2004-07-30 00:00:00	24775	AW00024775	NULL	NULL	NULL	40.43
75073	2004-07-30 00:00:00	11875	AW00011875	NULL	NULL	NULL	30.14
75074	2004-07-30 00:00:00	24672	AW00024672	NULL	NULL	NULL	79.1
75075	2004-07-30 00:00:00	13175	AW00013175	NULL	NULL	NULL	132.56
75076	2004-07-30 00:00:00	23273	AW00023273	NULL	NULL	NULL	43.61
75077	2004-07-30 00:00:00	16370	AW00016370	NULL	NULL	NULL	86.1
75078	2004-07-30 00:00:00	22341	AW00022341	NULL	NULL	NULL	81.73
75079	2004-07-30 00:00:00	12939	AW00012939	NULL	NULL	NULL	75.68
75080	2004-07-30 00:00:00	18805	AW00018805	NULL	NULL	NULL	147.51
75081	2004-07-30 00:00:00	13929	AW00013929	NULL	NULL	NULL	85.05
75082	2004-07-30 00:00:00	26361	AW00026361	NULL	NULL	NULL	59.65
75083	2004-07-30 00:00:00	13423	AW00013423	NULL	NULL	NULL	44.19
75030	2004-07-29 00:00:00	12038	AW00012038	NULL	NULL	NULL	27.61
75031	2004-07-29 00:00:00	24306	AW00024306	NULL	NULL	NULL	8.04
75032	2004-07-29 00:00:00	25817	AW00025817	NULL	NULL	NULL	8.04
75033	2004-07-29 00:00:00	16175	AW00016175	NULL	NULL	NULL	43.07
75034	2004-07-29 00:00:00	11118	AW00011118	NULL	NULL	NULL	8.78
75035	2004-07-29 00:00:00	15263	AW00015263	NULL	NULL	NULL	9.93
75036	2004-07-29 00:00:00	11711	AW00011711	NULL	NULL	NULL	69.59
75037	2004-07-29 00:00:00	15761	AW00015761	NULL	NULL	NULL	4.41
75038	2004-07-29 00:00:00	11185	AW00011185	NULL	NULL	NULL	87.81
75039	2004-07-29 00:00:00	25908	AW00025908	NULL	NULL	NULL	30.14
75040	2004-07-29 00:00:00	14079	AW00014079	NULL	NULL	NULL	42.96
75041	2004-07-29 00:00:00	18926	AW00018926	NULL	NULL	NULL	168.27
75042	2004-07-29 00:00:00	22356	AW00022356	NULL	NULL	NULL	55.22
75043	2004-07-29 00:00:00	20365	AW00020365	NULL	NULL	NULL	77.34
75044	2004-07-29 00:00:00	20473	AW00020473	NULL	NULL	NULL	16.55
75045	2004-07-29 00:00:00	18674	AW00018674	NULL	NULL	NULL	137
75046	2004-07-29 00:00:00	20298	AW00020298	NULL	NULL	NULL	77.34
75047	2004-07-29 00:00:00	17584	AW00017584	NULL	NULL	NULL	44.18
75048	2004-07-29 00:00:00	18774	AW00018774	NULL	NULL	NULL	146.93
75049	2004-07-29 00:00:00	25066	AW00025066	NULL	NULL	NULL	16.83
75050	2004-07-29 00:00:00	21364	AW00021364	NULL	NULL	NULL	8.04
75051	2004-07-29 00:00:00	15300	AW00015300	NULL	NULL	NULL	5.51
75052	2004-07-29 00:00:00	16303	AW00016303	NULL	NULL	NULL	165.73
75053	2004-07-29 00:00:00	14933	AW00014933	NULL	NULL	NULL	40.84
75054	2004-07-29 00:00:00	17851	AW00017851	NULL	NULL	NULL	54.68
75055	2004-07-29 00:00:00	20134	AW00020134	NULL	NULL	NULL	164.62
75056	2004-07-29 00:00:00	26369	AW00026369	NULL	NULL	NULL	59.66
75057	2004-07-29 00:00:00	25802	AW00025802	NULL	NULL	NULL	66.82
75058	2004-07-29 00:00:00	12643	AW00012643	NULL	NULL	NULL	103.84
75059	2004-07-29 00:00:00	13338	AW00013338	NULL	NULL	NULL	134.74
75060	2004-07-29 00:00:00	14514	AW00014514	NULL	NULL	NULL	156.89
74998	2004-07-28 00:00:00	26031	AW00026031	NULL	NULL	NULL	26.28
74999	2004-07-28 00:00:00	29288	AW00029288	NULL	NULL	NULL	60.75
75000	2004-07-28 00:00:00	28138	AW00028138	NULL	NULL	NULL	8.04
75001	2004-07-28 00:00:00	11123	AW00011123	NULL	NULL	NULL	114.88
75002	2004-07-28 00:00:00	17305	AW00017305	NULL	NULL	NULL	38.66
75003	2004-07-28 00:00:00	14321	AW00014321	NULL	NULL	NULL	55.24
75004	2004-07-28 00:00:00	11229	AW00011229	NULL	NULL	NULL	43.07
75005	2004-07-28 00:00:00	19640	AW00019640	NULL	NULL	NULL	30.69
75006	2004-07-28 00:00:00	12945	AW00012945	NULL	NULL	NULL	113.76
75007	2004-07-28 00:00:00	26605	AW00026605	NULL	NULL	NULL	30.14
75008	2004-07-28 00:00:00	12444	AW00012444	NULL	NULL	NULL	71.79
75009	2004-07-28 00:00:00	24635	AW00024635	NULL	NULL	NULL	79.1
75010	2004-07-28 00:00:00	22277	AW00022277	NULL	NULL	NULL	33.14
75011	2004-07-28 00:00:00	18535	AW00018535	NULL	NULL	NULL	33.14
75012	2004-07-28 00:00:00	17391	AW00017391	NULL	NULL	NULL	5.51
75013	2004-07-28 00:00:00	18503	AW00018503	NULL	NULL	NULL	137
75014	2004-07-28 00:00:00	25177	AW00025177	NULL	NULL	NULL	40.84
75015	2004-07-28 00:00:00	14397	AW00014397	NULL	NULL	NULL	44.18
75016	2004-07-28 00:00:00	17686	AW00017686	NULL	NULL	NULL	79.5
75017	2004-07-28 00:00:00	20551	AW00020551	NULL	NULL	NULL	71.79
75018	2004-07-28 00:00:00	18172	AW00018172	NULL	NULL	NULL	41.21
75019	2004-07-28 00:00:00	14168	AW00014168	NULL	NULL	NULL	79.5
75020	2004-07-28 00:00:00	20169	AW00020169	NULL	NULL	NULL	87.25
75021	2004-07-28 00:00:00	24859	AW00024859	NULL	NULL	NULL	44.18
75022	2004-07-28 00:00:00	12606	AW00012606	NULL	NULL	NULL	272.33
75023	2004-07-28 00:00:00	20947	AW00020947	NULL	NULL	NULL	41.18
75024	2004-07-28 00:00:00	22820	AW00022820	NULL	NULL	NULL	32.58
75025	2004-07-28 00:00:00	24131	AW00024131	NULL	NULL	NULL	15.45
75026	2004-07-28 00:00:00	22394	AW00022394	NULL	NULL	NULL	28.16
75027	2004-07-28 00:00:00	24118	AW00024118	NULL	NULL	NULL	8.04
75028	2004-07-28 00:00:00	23934	AW00023934	NULL	NULL	NULL	40.08
75029	2004-07-28 00:00:00	12088	AW00012088	NULL	NULL	NULL	123.72
74969	2004-07-27 00:00:00	16622	AW00016622	NULL	NULL	NULL	77.32
74970	2004-07-27 00:00:00	19582	AW00019582	NULL	NULL	NULL	28.16
74971	2004-07-27 00:00:00	20257	AW00020257	NULL	NULL	NULL	23.75
74972	2004-07-27 00:00:00	14054	AW00014054	NULL	NULL	NULL	77.34
74973	2004-07-27 00:00:00	26446	AW00026446	NULL	NULL	NULL	87.27
74974	2004-07-27 00:00:00	15758	AW00015758	NULL	NULL	NULL	38.66
74975	2004-07-27 00:00:00	11331	AW00011331	NULL	NULL	NULL	43.07
74976	2004-07-27 00:00:00	29262	AW00029262	NULL	NULL	NULL	70.13
74977	2004-07-27 00:00:00	11502	AW00011502	NULL	NULL	NULL	108.25
74978	2004-07-27 00:00:00	11219	AW00011219	NULL	NULL	NULL	2.53
74979	2004-07-27 00:00:00	27735	AW00027735	NULL	NULL	NULL	93.88
74980	2004-07-27 00:00:00	11642	AW00011642	NULL	NULL	NULL	98.32
74981	2004-07-27 00:00:00	26172	AW00026172	NULL	NULL	NULL	30.14
74982	2004-07-27 00:00:00	25877	AW00025877	NULL	NULL	NULL	88.37
74983	2004-07-27 00:00:00	15251	AW00015251	NULL	NULL	NULL	55.22
74984	2004-07-27 00:00:00	27562	AW00027562	NULL	NULL	NULL	104.4
74985	2004-07-27 00:00:00	18668	AW00018668	NULL	NULL	NULL	5.51
74986	2004-07-27 00:00:00	15361	AW00015361	NULL	NULL	NULL	44.18
74987	2004-07-27 00:00:00	20745	AW00020745	NULL	NULL	NULL	71.24
74988	2004-07-27 00:00:00	14258	AW00014258	NULL	NULL	NULL	89.46
74989	2004-07-27 00:00:00	13875	AW00013875	NULL	NULL	NULL	26.82
74990	2004-07-27 00:00:00	16035	AW00016035	NULL	NULL	NULL	51.35
74991	2004-07-27 00:00:00	28406	AW00028406	NULL	NULL	NULL	110.6
74992	2004-07-27 00:00:00	18003	AW00018003	NULL	NULL	NULL	70.69
74993	2004-07-27 00:00:00	22493	AW00022493	NULL	NULL	NULL	5.51
74994	2004-07-27 00:00:00	28566	AW00028566	NULL	NULL	NULL	64.61
74995	2004-07-27 00:00:00	22538	AW00022538	NULL	NULL	NULL	23.75
74996	2004-07-27 00:00:00	26371	AW00026371	NULL	NULL	NULL	37.55
74997	2004-07-27 00:00:00	12801	AW00012801	NULL	NULL	NULL	32.58
74937	2004-07-26 00:00:00	19086	AW00019086	NULL	NULL	NULL	83.95
74938	2004-07-26 00:00:00	25232	AW00025232	NULL	NULL	NULL	14.3
74939	2004-07-26 00:00:00	13005	AW00013005	NULL	NULL	NULL	180.1
74940	2004-07-26 00:00:00	14557	AW00014557	NULL	NULL	NULL	59.66
74941	2004-07-26 00:00:00	11131	AW00011131	NULL	NULL	NULL	55.24
74942	2004-07-26 00:00:00	27216	AW00027216	NULL	NULL	NULL	41.96
74943	2004-07-26 00:00:00	27383	AW00027383	NULL	NULL	NULL	76.21
74944	2004-07-26 00:00:00	28634	AW00028634	NULL	NULL	NULL	140.28
74945	2004-07-26 00:00:00	27434	AW00027434	NULL	NULL	NULL	40.08
74946	2004-07-26 00:00:00	27480	AW00027480	NULL	NULL	NULL	131.45
74947	2004-07-26 00:00:00	24686	AW00024686	NULL	NULL	NULL	42.96
74948	2004-07-26 00:00:00	23684	AW00023684	NULL	NULL	NULL	38.65
74949	2004-07-26 00:00:00	11823	AW00011823	NULL	NULL	NULL	77.32
74950	2004-07-26 00:00:00	21757	AW00021757	NULL	NULL	NULL	82.28
74951	2004-07-26 00:00:00	20784	AW00020784	NULL	NULL	NULL	11.04
74952	2004-07-26 00:00:00	16506	AW00016506	NULL	NULL	NULL	11.04
74953	2004-07-26 00:00:00	12136	AW00012136	NULL	NULL	NULL	55.22
74954	2004-07-26 00:00:00	19226	AW00019226	NULL	NULL	NULL	132.58
74955	2004-07-26 00:00:00	18070	AW00018070	NULL	NULL	NULL	5.51
74956	2004-07-26 00:00:00	17697	AW00017697	NULL	NULL	NULL	5.51
74957	2004-07-26 00:00:00	16060	AW00016060	NULL	NULL	NULL	8.04
74958	2004-07-26 00:00:00	16245	AW00016245	NULL	NULL	NULL	5.51
74959	2004-07-26 00:00:00	14869	AW00014869	NULL	NULL	NULL	60.73
74960	2004-07-26 00:00:00	14575	AW00014575	NULL	NULL	NULL	205.5
74961	2004-07-26 00:00:00	13731	AW00013731	NULL	NULL	NULL	24.29
74962	2004-07-26 00:00:00	16443	AW00016443	NULL	NULL	NULL	68.47
74963	2004-07-26 00:00:00	18159	AW00018159	NULL	NULL	NULL	24.29
74964	2004-07-26 00:00:00	14962	AW00014962	NULL	NULL	NULL	70.69
74965	2004-07-26 00:00:00	27831	AW00027831	NULL	NULL	NULL	30.69
74966	2004-07-26 00:00:00	13707	AW00013707	NULL	NULL	NULL	44.19
74967	2004-07-26 00:00:00	11786	AW00011786	NULL	NULL	NULL	101.63
74968	2004-07-26 00:00:00	13295	AW00013295	NULL	NULL	NULL	79.53
74913	2004-07-25 00:00:00	11501	AW00011501	NULL	NULL	NULL	8.78
74914	2004-07-25 00:00:00	16492	AW00016492	NULL	NULL	NULL	101.62
74915	2004-07-25 00:00:00	21991	AW00021991	NULL	NULL	NULL	134.2
74916	2004-07-25 00:00:00	24363	AW00024363	NULL	NULL	NULL	15.45
74917	2004-07-25 00:00:00	28782	AW00028782	NULL	NULL	NULL	59.66
74918	2004-07-25 00:00:00	12093	AW00012093	NULL	NULL	NULL	9.93
74919	2004-07-25 00:00:00	11262	AW00011262	NULL	NULL	NULL	38.66
74920	2004-07-25 00:00:00	11506	AW00011506	NULL	NULL	NULL	80.62
74921	2004-07-25 00:00:00	29024	AW00029024	NULL	NULL	NULL	34.55
74922	2004-07-25 00:00:00	11330	AW00011330	NULL	NULL	NULL	27.61
74923	2004-07-25 00:00:00	11276	AW00011276	NULL	NULL	NULL	76.21
74924	2004-07-25 00:00:00	25375	AW00025375	NULL	NULL	NULL	36.02
74925	2004-07-25 00:00:00	14341	AW00014341	NULL	NULL	NULL	76.21
74926	2004-07-25 00:00:00	23702	AW00023702	NULL	NULL	NULL	103.31
74927	2004-07-25 00:00:00	23291	AW00023291	NULL	NULL	NULL	47.44
74928	2004-07-25 00:00:00	22263	AW00022263	NULL	NULL	NULL	38.65
74929	2004-07-25 00:00:00	14504	AW00014504	NULL	NULL	NULL	55.22
74930	2004-07-25 00:00:00	18939	AW00018939	NULL	NULL	NULL	77.34
74931	2004-07-25 00:00:00	17589	AW00017589	NULL	NULL	NULL	66.28
74932	2004-07-25 00:00:00	16922	AW00016922	NULL	NULL	NULL	109.35
74933	2004-07-25 00:00:00	21531	AW00021531	NULL	NULL	NULL	62.94
74934	2004-07-25 00:00:00	23931	AW00023931	NULL	NULL	NULL	76.21
74935	2004-07-25 00:00:00	11209	AW00011209	NULL	NULL	NULL	38.67
74936	2004-07-25 00:00:00	16721	AW00016721	NULL	NULL	NULL	118.19
74873	2004-07-24 00:00:00	17253	AW00017253	NULL	NULL	NULL	33.14
74874	2004-07-24 00:00:00	16635	AW00016635	NULL	NULL	NULL	135.26
74875	2004-07-24 00:00:00	16730	AW00016730	NULL	NULL	NULL	79.53
74876	2004-07-24 00:00:00	25137	AW00025137	NULL	NULL	NULL	8.04
74877	2004-07-24 00:00:00	19752	AW00019752	NULL	NULL	NULL	65.17
74878	2004-07-24 00:00:00	17239	AW00017239	NULL	NULL	NULL	59.66
74879	2004-07-24 00:00:00	12690	AW00012690	NULL	NULL	NULL	175.7
74880	2004-07-24 00:00:00	11188	AW00011188	NULL	NULL	NULL	6.94
74881	2004-07-24 00:00:00	28873	AW00028873	NULL	NULL	NULL	44.18
74882	2004-07-24 00:00:00	28987	AW00028987	NULL	NULL	NULL	34.55
74883	2004-07-24 00:00:00	29219	AW00029219	NULL	NULL	NULL	30.14
74884	2004-07-24 00:00:00	28277	AW00028277	NULL	NULL	NULL	5.51
74885	2004-07-24 00:00:00	28262	AW00028262	NULL	NULL	NULL	8.04
74886	2004-07-24 00:00:00	27741	AW00027741	NULL	NULL	NULL	26.28
74887	2004-07-24 00:00:00	11711	AW00011711	NULL	NULL	NULL	5.51
74888	2004-07-24 00:00:00	25932	AW00025932	NULL	NULL	NULL	54.68
74889	2004-07-24 00:00:00	25004	AW00025004	NULL	NULL	NULL	27.61
74890	2004-07-24 00:00:00	25187	AW00025187	NULL	NULL	NULL	79.1
74891	2004-07-24 00:00:00	23037	AW00023037	NULL	NULL	NULL	35.67
74892	2004-07-24 00:00:00	15826	AW00015826	NULL	NULL	NULL	26.49
74893	2004-07-24 00:00:00	20737	AW00020737	NULL	NULL	NULL	142.51
74894	2004-07-24 00:00:00	15377	AW00015377	NULL	NULL	NULL	77.34
74895	2004-07-24 00:00:00	28025	AW00028025	NULL	NULL	NULL	77.34
74896	2004-07-24 00:00:00	18870	AW00018870	NULL	NULL	NULL	77.34
74897	2004-07-24 00:00:00	18505	AW00018505	NULL	NULL	NULL	15.45
74898	2004-07-24 00:00:00	18797	AW00018797	NULL	NULL	NULL	87.27
74899	2004-07-24 00:00:00	16723	AW00016723	NULL	NULL	NULL	8.04
74900	2004-07-24 00:00:00	15694	AW00015694	NULL	NULL	NULL	110.6
74901	2004-07-24 00:00:00	21083	AW00021083	NULL	NULL	NULL	43.07
74902	2004-07-24 00:00:00	18618	AW00018618	NULL	NULL	NULL	35.67
74903	2004-07-24 00:00:00	23610	AW00023610	NULL	NULL	NULL	43.07
74904	2004-07-24 00:00:00	22802	AW00022802	NULL	NULL	NULL	5.51
74905	2004-07-24 00:00:00	29471	AW00029471	NULL	NULL	NULL	26.28
74906	2004-07-24 00:00:00	12871	AW00012871	NULL	NULL	NULL	37.55
74907	2004-07-24 00:00:00	27328	AW00027328	NULL	NULL	NULL	76.21
74908	2004-07-24 00:00:00	11013	AW00011013	NULL	NULL	NULL	82.85
74909	2004-07-24 00:00:00	11501	AW00011501	NULL	NULL	NULL	153.02
74910	2004-07-24 00:00:00	12776	AW00012776	NULL	NULL	NULL	41.21
74911	2004-07-24 00:00:00	16331	AW00016331	NULL	NULL	NULL	33.07
74912	2004-07-24 00:00:00	16667	AW00016667	NULL	NULL	NULL	26.82
74843	2004-07-23 00:00:00	11137	AW00011137	NULL	NULL	NULL	6.94
74844	2004-07-23 00:00:00	13617	AW00013617	NULL	NULL	NULL	27.61
74845	2004-07-23 00:00:00	13140	AW00013140	NULL	NULL	NULL	227.91
74846	2004-07-23 00:00:00	26374	AW00026374	NULL	NULL	NULL	137
74847	2004-07-23 00:00:00	13962	AW00013962	NULL	NULL	NULL	55.24
74848	2004-07-23 00:00:00	14057	AW00014057	NULL	NULL	NULL	55.24
74849	2004-07-23 00:00:00	16030	AW00016030	NULL	NULL	NULL	40.08
74850	2004-07-23 00:00:00	19104	AW00019104	NULL	NULL	NULL	76.21
74851	2004-07-23 00:00:00	12034	AW00012034	NULL	NULL	NULL	2.53
74852	2004-07-23 00:00:00	17381	AW00017381	NULL	NULL	NULL	175.7
74853	2004-07-23 00:00:00	14086	AW00014086	NULL	NULL	NULL	42.96
74854	2004-07-23 00:00:00	12008	AW00012008	NULL	NULL	NULL	27.06
74855	2004-07-23 00:00:00	11200	AW00011200	NULL	NULL	NULL	2.53
74856	2004-07-23 00:00:00	11507	AW00011507	NULL	NULL	NULL	8.04
74857	2004-07-23 00:00:00	27538	AW00027538	NULL	NULL	NULL	92.79
74858	2004-07-23 00:00:00	26008	AW00026008	NULL	NULL	NULL	54.68
74859	2004-07-23 00:00:00	15847	AW00015847	NULL	NULL	NULL	38.65
74860	2004-07-23 00:00:00	21617	AW00021617	NULL	NULL	NULL	16.55
74861	2004-07-23 00:00:00	15511	AW00015511	NULL	NULL	NULL	16.55
74862	2004-07-23 00:00:00	14096	AW00014096	NULL	NULL	NULL	65.15
74863	2004-07-23 00:00:00	20466	AW00020466	NULL	NULL	NULL	16.55
74864	2004-07-23 00:00:00	18813	AW00018813	NULL	NULL	NULL	142.51
74865	2004-07-23 00:00:00	18073	AW00018073	NULL	NULL	NULL	15.45
74866	2004-07-23 00:00:00	16768	AW00016768	NULL	NULL	NULL	5.51
74867	2004-07-23 00:00:00	15336	AW00015336	NULL	NULL	NULL	8.04
74868	2004-07-23 00:00:00	19043	AW00019043	NULL	NULL	NULL	27.61
74869	2004-07-23 00:00:00	19377	AW00019377	NULL	NULL	NULL	128.09
74870	2004-07-23 00:00:00	24714	AW00024714	NULL	NULL	NULL	75.11
74871	2004-07-23 00:00:00	25296	AW00025296	NULL	NULL	NULL	28.16
74872	2004-07-23 00:00:00	28435	AW00028435	NULL	NULL	NULL	47.48
74811	2004-07-22 00:00:00	20455	AW00020455	NULL	NULL	NULL	26.28
74812	2004-07-22 00:00:00	21362	AW00021362	NULL	NULL	NULL	103.84
74813	2004-07-22 00:00:00	24593	AW00024593	NULL	NULL	NULL	5.51
74814	2004-07-22 00:00:00	11680	AW00011680	NULL	NULL	NULL	59.66
74815	2004-07-22 00:00:00	26787	AW00026787	NULL	NULL	NULL	66.82
74816	2004-07-22 00:00:00	26613	AW00026613	NULL	NULL	NULL	153.55
74817	2004-07-22 00:00:00	18317	AW00018317	NULL	NULL	NULL	26.28
74818	2004-07-22 00:00:00	13860	AW00013860	NULL	NULL	NULL	32.03
74819	2004-07-22 00:00:00	25763	AW00025763	NULL	NULL	NULL	42.96
74820	2004-07-22 00:00:00	18749	AW00018749	NULL	NULL	NULL	106.16
74821	2004-07-22 00:00:00	21301	AW00021301	NULL	NULL	NULL	16.55
74822	2004-07-22 00:00:00	11520	AW00011520	NULL	NULL	NULL	132.58
74823	2004-07-22 00:00:00	18965	AW00018965	NULL	NULL	NULL	137
74824	2004-07-22 00:00:00	12097	AW00012097	NULL	NULL	NULL	87.27
74825	2004-07-22 00:00:00	27191	AW00027191	NULL	NULL	NULL	32.58
74826	2004-07-22 00:00:00	16962	AW00016962	NULL	NULL	NULL	15.45
74827	2004-07-22 00:00:00	15383	AW00015383	NULL	NULL	NULL	126.48
74828	2004-07-22 00:00:00	17708	AW00017708	NULL	NULL	NULL	103.3
74829	2004-07-22 00:00:00	15074	AW00015074	NULL	NULL	NULL	94.46
74830	2004-07-22 00:00:00	15113	AW00015113	NULL	NULL	NULL	132.58
74831	2004-07-22 00:00:00	17719	AW00017719	NULL	NULL	NULL	43.07
74832	2004-07-22 00:00:00	23631	AW00023631	NULL	NULL	NULL	53.01
74833	2004-07-22 00:00:00	19491	AW00019491	NULL	NULL	NULL	6.94
74834	2004-07-22 00:00:00	20899	AW00020899	NULL	NULL	NULL	6.94
74835	2004-07-22 00:00:00	26415	AW00026415	NULL	NULL	NULL	76.21
74836	2004-07-22 00:00:00	25678	AW00025678	NULL	NULL	NULL	66.82
74837	2004-07-22 00:00:00	28895	AW00028895	NULL	NULL	NULL	15.45
74838	2004-07-22 00:00:00	12529	AW00012529	NULL	NULL	NULL	94.46
74839	2004-07-22 00:00:00	13211	AW00013211	NULL	NULL	NULL	34.22
74840	2004-07-22 00:00:00	16848	AW00016848	NULL	NULL	NULL	34.22
74841	2004-07-22 00:00:00	17450	AW00017450	NULL	NULL	NULL	33.07
74842	2004-07-22 00:00:00	13604	AW00013604	NULL	NULL	NULL	49.7
74784	2004-07-21 00:00:00	11276	AW00011276	NULL	NULL	NULL	8.78
74785	2004-07-21 00:00:00	11874	AW00011874	NULL	NULL	NULL	8.78
74786	2004-07-21 00:00:00	13669	AW00013669	NULL	NULL	NULL	30.14
74787	2004-07-21 00:00:00	19573	AW00019573	NULL	NULL	NULL	26.28
74788	2004-07-21 00:00:00	23642	AW00023642	NULL	NULL	NULL	15.45
74789	2004-07-21 00:00:00	14056	AW00014056	NULL	NULL	NULL	87.27
74790	2004-07-21 00:00:00	17282	AW00017282	NULL	NULL	NULL	69.59
74791	2004-07-21 00:00:00	17311	AW00017311	NULL	NULL	NULL	9.93
74792	2004-07-21 00:00:00	11692	AW00011692	NULL	NULL	NULL	59.66
74793	2004-07-21 00:00:00	11501	AW00011501	NULL	NULL	NULL	135.13
74794	2004-07-21 00:00:00	11636	AW00011636	NULL	NULL	NULL	2.53
74795	2004-07-21 00:00:00	11458	AW00011458	NULL	NULL	NULL	71.79
74796	2004-07-21 00:00:00	27032	AW00027032	NULL	NULL	NULL	8.04
74797	2004-07-21 00:00:00	24823	AW00024823	NULL	NULL	NULL	105.6
74798	2004-07-21 00:00:00	23467	AW00023467	NULL	NULL	NULL	33.14
74799	2004-07-21 00:00:00	12077	AW00012077	NULL	NULL	NULL	33.14
74800	2004-07-21 00:00:00	13701	AW00013701	NULL	NULL	NULL	16.55
74801	2004-07-21 00:00:00	11740	AW00011740	NULL	NULL	NULL	55.22
74802	2004-07-21 00:00:00	18499	AW00018499	NULL	NULL	NULL	5.51
74803	2004-07-21 00:00:00	28346	AW00028346	NULL	NULL	NULL	104.4
74804	2004-07-21 00:00:00	18920	AW00018920	NULL	NULL	NULL	142.51
74805	2004-07-21 00:00:00	21238	AW00021238	NULL	NULL	NULL	8.04
74806	2004-07-21 00:00:00	19063	AW00019063	NULL	NULL	NULL	71.79
74807	2004-07-21 00:00:00	17881	AW00017881	NULL	NULL	NULL	35.66
74808	2004-07-21 00:00:00	15760	AW00015760	NULL	NULL	NULL	41.21
