CustomerID	AccountNumber	CustomerType	JSON_ARRAYAGG(
8	AW00000008	S	[{"TotalDue": 9617.3352, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51874}, {"TotalDue": 6155.9868, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63220}, {"TotalDue": 9821.9114, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57190}, {"TotalDue": 4744.0479, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69565}]
9	AW00000009	S	[{"TotalDue": 1774.1718, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51758}, {"TotalDue": 648.6228, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50234}, {"TotalDue": 320.6283, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 48092}, {"TotalDue": 5418.6714, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49170}, {"TotalDue": 3560.1315, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57072}, {"TotalDue": 4583.9683, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69452}, {"TotalDue": 698.8969, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63234}]
10	AW00000010	S	[{"TotalDue": 107270.7268, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58972}, {"TotalDue": 91767.195, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65206}, {"TotalDue": 112758.7684, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71841}, {"TotalDue": 49824.3724, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47411}, {"TotalDue": 46877.3677, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48350}, {"TotalDue": 98236.5415, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53527}, {"TotalDue": 50711.7281, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49467}, {"TotalDue": 35253.2208, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50698}]
11	AW00000011	S	[{"TotalDue": 34946.6266, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43853}, {"TotalDue": 5403.8208, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44495}, {"TotalDue": 8075.3162, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45276}, {"TotalDue": 16225.1092, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46035}]
12	AW00000012	S	[{"TotalDue": 87361.938, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46953}, {"TotalDue": 53487.8319, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50203}, {"TotalDue": 30057.797, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 47980}, {"TotalDue": 22928.3359, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49100}, {"TotalDue": 67920.0563, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51703}, {"TotalDue": 5215.9997, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63141}, {"TotalDue": 47169.567, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57023}, {"TotalDue": 23875.7656, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69401}]
14	AW00000014	S	[{"TotalDue": 109.1453, "OrderDate": "2004-02-29 00:00:00.000000", "SalesOrderID": 65090}, {"TotalDue": 351.8923, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65305}, {"TotalDue": 1069.4434, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59033}, {"TotalDue": 444.4554, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59053}, {"TotalDue": 2310.5661, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53608}, {"TotalDue": 3523.5513, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53609}, {"TotalDue": 218.2905, "OrderDate": "2004-05-31 00:00:00.000000", "SalesOrderID": 71692}, {"TotalDue": 767.3567, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71910}]
15	AW00000015	S	[{"TotalDue": 38777.4627, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71933}, {"TotalDue": 53499.2362, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59018}, {"TotalDue": 17433.758, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65273}, {"TotalDue": 84825.8951, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53566}]
16	AW00000016	S	[{"TotalDue": 107959.4154, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53562}, {"TotalDue": 62401.3124, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49510}, {"TotalDue": 66139.8895, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50722}, {"TotalDue": 75440.7109, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47447}, {"TotalDue": 68200.4686, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48386}, {"TotalDue": 98138.2131, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71938}, {"TotalDue": 73817.1891, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65271}, {"TotalDue": 76339.5484, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59063}]
17	AW00000017	S	[{"TotalDue": 702.9363, "OrderDate": "2004-04-01 00:00:00.000000", "SalesOrderID": 67283}, {"TotalDue": 2026.9753, "OrderDate": "2004-01-01 00:00:00.000000", "SalesOrderID": 61223}, {"TotalDue": 2184.4578, "OrderDate": "2002-10-01 00:00:00.000000", "SalesOrderID": 47684}, {"TotalDue": 1684.8351, "OrderDate": "2003-01-01 00:00:00.000000", "SalesOrderID": 48759}, {"TotalDue": 78356.9835, "OrderDate": "2002-04-01 00:00:00.000000", "SalesOrderID": 45796}, {"TotalDue": 9712.8886, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46631}, {"TotalDue": 10745.818, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55260}, {"TotalDue": 1973.4799, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49868}, {"TotalDue": 8897.326, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51110}, {"TotalDue": 18830.1112, "OrderDate": "2001-07-01 00:00:00.000000", "SalesOrderID": 43676}, {"TotalDue": 13559.0006, "OrderDate": "2001-10-01 00:00:00.000000", "SalesOrderID": 44297}, {"TotalDue": 51251.2959, "OrderDate": "2002-01-01 00:00:00.000000", "SalesOrderID": 45056}]
18	AW00000018	S	[{"TotalDue": 43843.6207, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43843}, {"TotalDue": 55635.9281, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44487}, {"TotalDue": 32579.5883, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45266}, {"TotalDue": 37059.421, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46026}, {"TotalDue": 64554.7349, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46931}, {"TotalDue": 51503.308, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 47962}, {"TotalDue": 23101.4814, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49040}, {"TotalDue": 43125.6852, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51691}, {"TotalDue": 40157.6438, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50189}, {"TotalDue": 19383.5856, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63123}, {"TotalDue": 43160.7519, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69393}, {"TotalDue": 44939.5307, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57015}]
19	AW00000019	S	[{"TotalDue": 340.0815, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49846}]
20	AW00000020	S	[{"TotalDue": 5017.6917, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49539}, {"TotalDue": 3673.6642, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50750}, {"TotalDue": 43002.0527, "OrderDate": "2002-03-01 00:00:00.000000", "SalesOrderID": 45570}, {"TotalDue": 8950.7432, "OrderDate": "2002-06-01 00:00:00.000000", "SalesOrderID": 46379}, {"TotalDue": 4951.8986, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53584}, {"TotalDue": 18909.6712, "OrderDate": "2001-09-01 00:00:00.000000", "SalesOrderID": 44126}, {"TotalDue": 46058.9916, "OrderDate": "2001-12-01 00:00:00.000000", "SalesOrderID": 44792}, {"TotalDue": 9997.7733, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47443}, {"TotalDue": 3966.3034, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48381}, {"TotalDue": 2637.4785, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59019}, {"TotalDue": 2077.2456, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65270}, {"TotalDue": 726.3209, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71932}]
21	AW00000021	S	[{"TotalDue": 49926.4789, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71881}, {"TotalDue": 75482.0871, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47438}, {"TotalDue": 44258.5986, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48380}, {"TotalDue": 81754.4665, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53614}, {"TotalDue": 23107.4756, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49540}, {"TotalDue": 34356.0057, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50749}, {"TotalDue": 31778.3109, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65315}, {"TotalDue": 52949.2656, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59027}]
22	AW00000022	S	[{"TotalDue": 6031.7587, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57113}, {"TotalDue": 399.5528, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63162}, {"TotalDue": 3272.111, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69495}, {"TotalDue": 2977.3482, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50274}, {"TotalDue": 2723.5248, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 48013}, {"TotalDue": 1872.3077, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49130}, {"TotalDue": 3192.3752, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46989}, {"TotalDue": 556.2026, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43874}, {"TotalDue": 2846.8717, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44519}, {"TotalDue": 5000.9387, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51807}]
23	AW00000023	S	[{"TotalDue": 38244.994, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47374}, {"TotalDue": 17526.8327, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48313}, {"TotalDue": 9742.581, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53552}, {"TotalDue": 15358.682, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49489}, {"TotalDue": 18480.8446, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50721}, {"TotalDue": 8654.1376, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71859}, {"TotalDue": 4857.7801, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58992}, {"TotalDue": 11558.6081, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65180}]
24	AW00000024	S	[{"TotalDue": 72007.0074, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65160}, {"TotalDue": 98674.62, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58909}, {"TotalDue": 58458.2668, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49490}, {"TotalDue": 117201.3788, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50663}, {"TotalDue": 144883.0291, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53460}, {"TotalDue": 173438.7092, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47355}, {"TotalDue": 105966.1595, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48295}, {"TotalDue": 92663.5609, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71783}]
25	AW00000025	S	[{"TotalDue": 2669.3183, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71899}, {"TotalDue": 2757.495, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59017}, {"TotalDue": 2048.1235, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65279}, {"TotalDue": 374.7565, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47431}, {"TotalDue": 5966.595, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48369}, {"TotalDue": 1462.3422, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53589}, {"TotalDue": 1025.0851, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49528}, {"TotalDue": 2647.9196, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50744}]
26	AW00000026	S	[{"TotalDue": 6363.8858, "OrderDate": "2001-12-01 00:00:00.000000", "SalesOrderID": 44802}, {"TotalDue": 5148.5381, "OrderDate": "2002-03-01 00:00:00.000000", "SalesOrderID": 45578}, {"TotalDue": 3384.1567, "OrderDate": "2002-06-01 00:00:00.000000", "SalesOrderID": 46388}]
27	AW00000027	S	[{"TotalDue": 71003.1394, "OrderDate": "2002-04-01 00:00:00.000000", "SalesOrderID": 45801}, {"TotalDue": 285.1811, "OrderDate": "2002-07-01 00:00:00.000000", "SalesOrderID": 46637}, {"TotalDue": 3691.568, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51115}, {"TotalDue": 52314.3358, "OrderDate": "2001-07-01 00:00:00.000000", "SalesOrderID": 43695}, {"TotalDue": 49833.7885, "OrderDate": "2001-10-01 00:00:00.000000", "SalesOrderID": 44304}, {"TotalDue": 25189.1683, "OrderDate": "2002-01-01 00:00:00.000000", "SalesOrderID": 45077}, {"TotalDue": 149.6227, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55267}, {"TotalDue": 1674.8747, "OrderDate": "2003-04-01 00:00:00.000000", "SalesOrderID": 49873}, {"TotalDue": 1103.5679, "OrderDate": "2004-04-01 00:00:00.000000", "SalesOrderID": 67313}]
28	AW00000028	S	[{"TotalDue": 1107.7067, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69398}, {"TotalDue": 265.6878, "OrderDate": "2003-11-01 00:00:00.000000", "SalesOrderID": 57021}, {"TotalDue": 481.5265, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63139}, {"TotalDue": 1980.8809, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51702}]
29	AW00000029	S	[{"TotalDue": 8069.0729, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46079}, {"TotalDue": 43182.223, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43891}, {"TotalDue": 21554.7914, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44542}, {"TotalDue": 18875.5543, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45319}]
30	AW00000030	S	[{"TotalDue": 89.9609, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53488}, {"TotalDue": 821.3797, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47381}, {"TotalDue": 3278.9681, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48324}, {"TotalDue": 269.8901, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49458}, {"TotalDue": 1046.6252, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50710}, {"TotalDue": 1932.6749, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71868}, {"TotalDue": 551.4895, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59002}, {"TotalDue": 487.9108, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65192}]
31	AW00000031	S	[{"TotalDue": 486.3925, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69427}, {"TotalDue": 2341.0751, "OrderDate": "2003-08-01 00:00:00.000000", "SalesOrderID": 51803}]
33	AW00000033	S	[{"TotalDue": 1696.5722, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53579}, {"TotalDue": 1845.784, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65318}, {"TotalDue": 1845.784, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59004}, {"TotalDue": 469.5968, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71934}]
34	AW00000034	S	[{"TotalDue": 33639.3179, "OrderDate": "2003-07-01 00:00:00.000000", "SalesOrderID": 51084}, {"TotalDue": 34021.0817, "OrderDate": "2003-10-01 00:00:00.000000", "SalesOrderID": 55236}, {"TotalDue": 38491.0961, "OrderDate": "2004-04-01 00:00:00.000000", "SalesOrderID": 67261}, {"TotalDue": 34218.425, "OrderDate": "2004-01-01 00:00:00.000000", "SalesOrderID": 61175}]
36	AW00000036	S	[{"TotalDue": 486.3925, "OrderDate": "2004-05-01 00:00:00.000000", "SalesOrderID": 69402}, {"TotalDue": 66.2173, "OrderDate": "2004-02-01 00:00:00.000000", "SalesOrderID": 63147}, {"TotalDue": 5206.9534, "OrderDate": "2003-05-01 00:00:00.000000", "SalesOrderID": 50264}, {"TotalDue": 18191.9907, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43858}, {"TotalDue": 23757.1113, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44502}, {"TotalDue": 19796.1399, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45285}, {"TotalDue": 622.9468, "OrderDate": "2002-11-01 00:00:00.000000", "SalesOrderID": 47983}, {"TotalDue": 342.7215, "OrderDate": "2003-02-01 00:00:00.000000", "SalesOrderID": 49050}, {"TotalDue": 25317.2975, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46043}, {"TotalDue": 442.175, "OrderDate": "2002-08-01 00:00:00.000000", "SalesOrderID": 46961}]
37	AW00000037	S	[{"TotalDue": 714.9913, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49500}, {"TotalDue": 1864.9218, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50718}, {"TotalDue": 1943.9293, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53487}, {"TotalDue": 89.4043, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47382}, {"TotalDue": 795.9481, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48322}, {"TotalDue": 2430.3218, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71861}, {"TotalDue": 1718.6962, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58933}, {"TotalDue": 891.4618, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65225}]
38	AW00000038	S	[{"TotalDue": 4974.7595, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65203}, {"TotalDue": 3077.9935, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 58966}, {"TotalDue": 2008.0864, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53522}, {"TotalDue": 3077.9935, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71919}]
39	AW00000039	S	[{"TotalDue": 3973.946, "OrderDate": "2004-06-01 00:00:00.000000", "SalesOrderID": 71912}, {"TotalDue": 551.4895, "OrderDate": "2003-12-01 00:00:00.000000", "SalesOrderID": 59051}, {"TotalDue": 12.9142, "OrderDate": "2004-03-01 00:00:00.000000", "SalesOrderID": 65301}, {"TotalDue": 1353.3076, "OrderDate": "2003-09-01 00:00:00.000000", "SalesOrderID": 53591}, {"TotalDue": 563.655, "OrderDate": "2003-03-01 00:00:00.000000", "SalesOrderID": 49529}, {"TotalDue": 782.2563, "OrderDate": "2003-06-01 00:00:00.000000", "SalesOrderID": 50742}, {"TotalDue": 3608.5126, "OrderDate": "2002-09-01 00:00:00.000000", "SalesOrderID": 47428}, {"TotalDue": 3327.1948, "OrderDate": "2002-12-01 00:00:00.000000", "SalesOrderID": 48367}]
40	AW00000040	S	[{"TotalDue": 87198.6659, "OrderDate": "2002-05-01 00:00:00.000000", "SalesOrderID": 46103}, {"TotalDue": 48651.734, "OrderDate": "2001-08-01 00:00:00.000000", "SalesOrderID": 43913}, {"TotalDue": 50808.1785, "OrderDate": "2001-11-01 00:00:00.000000", "SalesOrderID": 44566}, {"TotalDue": 46047.4961, "OrderDate": "2002-02-01 00:00:00.000000", "SalesOrderID": 45341}]
