ProductID	ProductName	TotalQuantity
849	Men's Sports Shorts, M	108
496	Paint - Yellow	99
493	Paint - Red	93
956	Touring-1000 Yellow, 54	75
861	Full-Finger Gloves, S	72
855	Men's Bib-Shorts, S	72
884	Short-Sleeve Classic Jersey, XL	72
842	Touring-Panniers, Large	72
494	Paint - Silver	65
492	Paint - Black	47
877	Bike Wash - Dissolver	36
860	Half-Finger Gloves, L	36
883	Short-Sleeve Classic Jersey, L	36
854	Women's Tights, L	36
859	Half-Finger Gloves, M	0
876	Hitch Rack - 4-Bike	0
743	HL Mountain Frame - Black, 42	0
744	HL Mountain Frame - Black, 44	0
746	HL Mountain Frame - Black, 46	0
745	HL Mountain Frame - Black, 48	0
739	HL Mountain Frame - Silver, 42	0
740	HL Mountain Frame - Silver, 44	0
742	HL Mountain Frame - Silver, 46	0
741	HL Mountain Frame - Silver, 48	0
838	HL Road Frame - Black, 44	0
839	HL Road Frame - Black, 48	0
840	HL Road Frame - Black, 52	0
680	HL Road Frame - Black, 58	0
837	HL Road Frame - Black, 62	0
718	HL Road Frame - Red, 44	0
719	HL Road Frame - Red, 48	0
720	HL Road Frame - Red, 52	0
721	HL Road Frame - Red, 56	0
706	HL Road Frame - Red, 58	0
717	HL Road Frame - Red, 62	0
890	HL Touring Frame - Blue, 46	0
891	HL Touring Frame - Blue, 50	0
892	HL Touring Frame - Blue, 54	0
893	HL Touring Frame - Blue, 60	0
887	HL Touring Frame - Yellow, 46	0
888	HL Touring Frame - Yellow, 50	0
889	HL Touring Frame - Yellow, 54	0
885	HL Touring Frame - Yellow, 60	0
924	LL Mountain Frame - Black, 42	0
925	LL Mountain Frame - Black, 44	0
926	LL Mountain Frame - Black, 48	0
927	LL Mountain Frame - Black, 52	0
917	LL Mountain Frame - Silver, 42	0
918	LL Mountain Frame - Silver, 44	0
919	LL Mountain Frame - Silver, 48	0
920	LL Mountain Frame - Silver, 52	0
736	LL Road Frame - Black, 44	0
737	LL Road Frame - Black, 48	0
738	LL Road Frame - Black, 52	0
722	LL Road Frame - Black, 58	0
723	LL Road Frame - Black, 60	0
724	LL Road Frame - Black, 62	0
725	LL Road Frame - Red, 44	0
726	LL Road Frame - Red, 48	0
727	LL Road Frame - Red, 52	0
728	LL Road Frame - Red, 58	0
729	LL Road Frame - Red, 60	0
730	LL Road Frame - Red, 62	0
903	LL Touring Frame - Blue, 44	0
895	LL Touring Frame - Blue, 50	0
896	LL Touring Frame - Blue, 54	0
897	LL Touring Frame - Blue, 58	0
898	LL Touring Frame - Blue, 62	0
899	LL Touring Frame - Yellow, 44	0
900	LL Touring Frame - Yellow, 50	0
901	LL Touring Frame - Yellow, 54	0
902	LL Touring Frame - Yellow, 58	0
886	LL Touring Frame - Yellow, 62	0
830	ML Mountain Frame - Black, 40	0
831	ML Mountain Frame - Black, 44	0
832	ML Mountain Frame - Black, 48	0
904	ML Mountain Frame-W - Silver, 40	0
905	ML Mountain Frame-W - Silver, 42	0
906	ML Mountain Frame-W - Silver, 46	0
731	ML Road Frame - Red, 44	0
732	ML Road Frame - Red, 48	0
733	ML Road Frame - Red, 52	0
734	ML Road Frame - Red, 58	0
735	ML Road Frame - Red, 60	0
833	ML Road Frame-W - Yellow, 40	0
834	ML Road Frame-W - Yellow, 42	0
835	ML Road Frame-W - Yellow, 44	0
836	ML Road Frame-W - Yellow, 48	0
882	Short-Sleeve Classic Jersey, M	0
853	Women's Tights, M	0
